Município,"Denominação da Serventia",Endereço,Telefone,"Municípios Circunscritos",Detalhes
Luzilândia,"SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE LUZILÂNDIA","Avenida Prefeito Raimundo Marques, nº 444, CEP 64.160-000 São Domingos","(86) 98188-8282 / (86) 99926-5626","Luzilândia, Joca Marques, Madeiro","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"São João da Serra","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOÃO DA SERRA","Avenida Presidente Médici, nº 316, CEP 64.350-000 Centro","(86) 98176-9008","São João da Serra","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Teresina,"3ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA","Rua Davi Caldas, nº 173  Centro Norte","(86) 3221 0643 / (86) 981642884",Teresina,"
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"Angical do Piauí","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANGICAL DO PIAUÍ","Rua Faustino Sousa, nº 556, CEP 64.410-000 CENTRO","(86) 99506-9854","Angical do Piauí, Jardim do Mulato","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Guadalupe,"SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE GUADALUPE","Rua Airton Granjeiro, s/n, CEP 64.840-000 Centro","(89) 99979-5475",Guadalupe,"
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Teresina,"7ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA","Rua Barroso, nº 329, CEP 64.000-130 Centro","(86) 98857-7077",Teresina,"
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"Francisco Santos","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FRANCISCO SANTOS","Rua Amadeu Rodrigues, nº 100, CEP 64.645-000 Centro","(89) 98105-1400","Francisco Santos","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"Castelo do Piauí","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CASTELO DO PIAUÍ","Rua Sete de Setembro, S/N, CEP 64.340-000 Centro","(86) 98124-8584","Castelo do Piauí, Buriti dos Montes, Juazeiro do Piauí","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Picos,"4ª SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE PICOS","Travessa Firmino Rodrigues, nº 311, CEP 64.600-078 Centro","(89) 3422-1041","Picos, Aroeira do Itaim, Geminiano, Paquetá, Santana do Piauí, Sussuapara","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Arraial,teste,,,,"
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"Isaías Coelho","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ISAÍAS COELHO","Rua Francisco Terto, 256 centro","(89) 99429-8789","Isaías Coelho","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Teresina,"2ª SERVENTIA EXTRAJUDICIAL DE NOTAS E PROTESTO DE TÍTULOS DE TERESINA","Avenida Elias João Tajra, nº 1816, CEP 64.049-300 Fátima","(86) 3029-3564 / (86) 98132-4549","Teresina, Nazária","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
Inhuma,"SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE INHUMA","Rua Treze de Maio, nº 261, CEP 64.535-000 Centro","(89) 99415-2580",inhuma,"
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
"Sebastião Leal","SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SEBASTIÃO LEAL","Avenida Ulisses Guimarães, nº 1121, CEP 64.873-000 Centro","(89) 99460-1598","Sebastião Leal","
											<svg class=""svg-inline--fa fa-eye fa-w-18"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""eye"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M288 144a110.94 110.94 0 0 0-31.24 5 55.4 55.4 0 0 1 7.24 27 56 56 0 0 1-56 56 55.4 55.4 0 0 1-27-7.24A111.71 111.71 0 1 0 288 144zm284.52 97.4C518.29 135.59 410.93 64 288 64S57.68 135.64 3.48 241.41a32.35 32.35 0 0 0 0 29.19C57.71 376.41 165.07 448 288 448s230.32-71.64 284.52-177.41a32.35 32.35 0 0 0 0-29.19zM288 400c-98.65 0-189.09-55-237.93-144C98.91 167 189.34 112 288 112s189.09 55 237.93 144C477.1 345 386.66 400 288 400z""></path></svg><!-- <i class=""fa fa-eye""></i> -->"
